flow_id,sport,dport,proto,sttl,dttl,ct_state_ttl,sload,dload,sbytes,dbytes,smean,dmean,rate,dur,num_packets,label
3316,54321.0,54321.0,6,64.0,64.0,1,1942.37,16792.1,5022,43416,5.59866,48.4013,43.3668,20.684003,897,1
3365,54322.0,54322.0,6,64.0,64.0,1,1948.65,16915.1,5238,45468,5.57827,48.4217,43.6661,21.504088,939,1
3366,23490.0,23490.0,6,64.0,64.0,1,1986.29,16835.9,5138,43550,5.46596,46.32979,45.4241,20.693875857214532,940,1
3367,23554.0,23554.0,17,64.0,64.0,1,1842.75,16387.97,5140,45711,5.59913,49.79412,41.1393,22.31442091287878,918,1
3368,2668.0,2668.0,6,64.0,64.0,1,2013.37,17385.36,5243,45273,5.38296,46.48152,46.7534,20.83270558469203,974,1
3369,64786.0,64786.0,17,64.0,64.0,1,2007.83,17704.34,5166,45552,5.57883,49.19222,44.9876,20.583430650875183,926,1
3370,14386.0,14386.0,17,64.0,64.0,1,2005.6,17338.87,5268,45543,5.74482,49.66521,43.6394,21.013132193111872,917,1
3371,55750.0,55750.0,17,64.0,64.0,1,1775.75,16157.69,4764,43348,5.21225,47.4267,42.586,21.462475846795083,914,1
3372,64956.0,64956.0,17,64.0,64.0,1,1814.93,16318.14,4820,43337,5.30837,47.72797,42.7374,21.246052823062666,908,1
3373,18600.0,18600.0,6,64.0,64.0,1,1926.79,16757.9,5213,45339,5.62959,48.9622,42.7827,21.644242369693785,926,1
3374,34959.0,34959.0,17,64.0,64.0,1,2009.23,16738.22,5223,43511,5.6343,46.93743,44.5759,20.796004607383445,927,1
3375,51087.0,51087.0,6,64.0,64.0,1,1950.58,17498.52,5054,45339,5.5235,49.55082,44.1429,20.728150080251474,915,1
3376,63180.0,63180.0,6,64.0,64.0,1,1945.79,16023.9,5239,43144,5.77619,47.56781,42.1081,21.539820616439954,907,1
3377,63567.0,63567.0,6,64.0,64.0,1,1761.65,15985.95,4770,43285,5.57243,50.56659,39.5171,21.66152127717245,856,1
3378,44147.0,44147.0,6,64.0,64.0,1,2022.18,16879.62,5472,45676,5.60656,46.79918,45.0853,21.647877947977847,976,1
3379,53586.0,53586.0,6,64.0,64.0,1,2092.2,17689.95,5369,45396,5.77933,48.86545,45.2517,20.529623726012936,929,1
3380,51429.0,51429.0,17,64.0,64.0,1,2104.58,17550.24,5191,43288,5.51647,46.00213,47.6887,19.732156670941393,941,1
3381,21883.0,21883.0,6,64.0,64.0,1,1928.36,16801.4,5202,45324,5.39627,47.0166,44.6688,21.581059107572862,964,1
3382,43227.0,43227.0,6,64.0,64.0,1,2034.71,16608.92,5283,43124,5.94263,48.50844,42.7991,20.77148303212902,889,1
3383,19025.0,19025.0,17,64.0,64.0,1,1964.71,17390.5,4921,43558,5.23511,46.3383,46.9118,20.037601404849166,940,1
3384,14223.0,14223.0,6,64.0,64.0,1,2035.57,17108.57,5148,43268,5.7713,48.50673,44.0881,20.232196223183223,892,1
3385,38794.0,38794.0,17,64.0,64.0,1,2007.72,17163.66,5322,45497,5.91333,50.55222,42.4404,21.206194571184465,900,1
3386,33377.0,33377.0,17,64.0,64.0,1,1998.13,16600.2,5496,45660,5.79136,48.1138,43.1274,22.00455211896713,949,1
3387,42713.0,42713.0,6,64.0,64.0,1,2042.49,17436.63,5088,43436,5.39555,46.06151,47.3189,19.928622190002518,943,1
3388,63787.0,63787.0,17,64.0,64.0,1,2059.81,17441.3,5141,43531,5.8288,49.35488,44.1732,19.966859344478063,882,1
3389,41163.0,41163.0,17,64.0,64.0,1,1995.8,16639.22,5221,43528,5.76906,48.09724,43.2437,20.927906094326396,905,1
3390,55965.0,55965.0,17,64.0,64.0,1,2017.71,17227.78,5092,43477,5.87313,50.14648,42.9436,20.18925094785407,867,1
3391,14283.0,14283.0,17,64.0,64.0,1,1994.1,16836.77,5168,43635,5.7743,48.75419,43.1675,20.73319855891799,895,1
3392,23350.0,23350.0,17,64.0,64.0,1,2027.34,17447.44,5280,45440,5.4321,46.74897,46.6519,20.835144048639165,972,1
3393,13596.0,13596.0,17,64.0,64.0,1,2094.11,17555.38,5164,43291,5.76983,48.36983,45.3676,19.727745923464283,895,1
