flow_id,sport,dport,proto,sttl,dttl,ct_state_ttl,sload,dload,sbytes,dbytes,smean,dmean,rate,dur,num_packets,label
1,53.0,52723.0,DNS,64.0,64.0,1,895.648,7760000.0,169,97,84.5,48.5,1.32492,1.0,2,0
2,3306.0,50048.0,MYSQL,64.0,64.0,1,2478.63,3850.71,1021,1643,39.2692,63.1923,7.61705,3.0,26,0
4,3306.0,50050.0,MYSQL,64.0,64.0,1,1389.16,2568.34,1035,2046,35.6897,70.5517,4.55046,6.0,29,0
5,3306.0,50051.0,MYSQL,64.0,64.0,1,2672.28,6526.47,1035,2580,35.6897,88.9655,9.16994,3.0,29,0
6,3306.0,50052.0,MYSQL,64.0,64.0,1,2061.25,3248.48,1021,1644,39.2692,63.2308,6.42188,4.0,26,0
7,3306.0,50053.0,MYSQL,64.0,64.0,1,598.922,1196.53,1035,2047,35.6897,70.5862,2.09768,13.0,29,0
8,3306.0,50054.0,MYSQL,64.0,64.0,1,873.988,2093.54,1035,2456,35.6897,84.6897,3.06107,9.0,29,0
9,3306.0,50055.0,MYSQL,64.0,64.0,1,2331.7,3857.36,1027,1644,39.5,63.2308,7.37879,3.0,26,0
10,3306.0,50056.0,MYSQL,64.0,64.0,1,3179.75,2740.37,2506,2128,78.3125,66.5,5.07542,6.0,32,0
11,3306.0,50057.0,MYSQL,64.0,64.0,1,2706.93,6531.84,1035,2424,35.6897,83.5862,9.4808,3.0,29,0
12,3306.0,50058.0,MYSQL,64.0,64.0,1,2173.76,3410.65,1027,1644,39.5,63.2308,6.74247,3.0,26,0
13,3306.0,50059.0,MYSQL,64.0,64.0,1,1958.9,1727.37,2517,2142,78.6562,66.9375,3.11308,50.0,32,0
14,3306.0,50060.0,MYSQL,64.0,64.0,1,1246.44,2429.27,1035,2383,35.6897,82.1724,3.69538,47.0,29,0
15,3306.0,50061.0,MYSQL,64.0,64.0,1,1193.7,1893.96,1027,1644,39.5,63.2308,3.74413,6.0,26,0
16,3306.0,50062.0,MYSQL,64.0,64.0,1,3874.2,3326.25,2523,2130,78.8438,66.5625,6.14221,5.0,32,0
17,3306.0,50063.0,MYSQL,64.0,64.0,1,2909.29,7152.05,1035,2620,35.6897,90.3448,9.89549,2.0,29,0
18,3306.0,50064.0,MYSQL,64.0,64.0,1,2473.95,3846.9,1027,1644,39.5,63.2308,7.60488,3.0,26,0
19,3306.0,50065.0,MYSQL,64.0,64.0,1,1551.03,1290.85,2522,2128,78.8125,66.5,2.4264,13.0,32,0
20,3306.0,50066.0,MYSQL,64.0,64.0,1,766.512,1782.08,1035,2383,35.6897,82.1724,2.68464,10.0,29,0
21,3306.0,50067.0,MYSQL,64.0,64.0,1,2874.31,4836.89,1027,1643,39.5,63.1923,9.09591,2.0,26,0
22,3306.0,50068.0,MYSQL,64.0,64.0,1,2931.13,2538.56,2505,2128,78.2812,66.5,4.68045,6.0,32,0
23,3306.0,50069.0,MYSQL,64.0,64.0,1,2358.13,6896.5,1035,2867,35.6897,98.8621,8.25914,3.0,29,0
24,3306.0,50070.0,MYSQL,64.0,64.0,1,2064.26,3411.1,1021,1644,39.2692,63.2308,6.57085,3.0,26,0
25,3306.0,50071.0,MYSQL,64.0,64.0,1,1109.6,2225.81,1035,2047,35.6897,70.5862,3.88626,7.0,29,0
26,3306.0,50072.0,MYSQL,64.0,64.0,1,2575.1,6388.2,1035,2456,35.6897,84.6897,9.01907,3.0,29,0
27,3306.0,50073.0,MYSQL,64.0,64.0,1,2835.08,4808.0,1027,1644,39.5,63.2308,8.97177,2.0,26,0
28,3306.0,50074.0,MYSQL,64.0,64.0,1,3188.17,2678.92,2521,2143,78.7812,66.9688,5.00031,6.0,32,0
29,3306.0,50075.0,MYSQL,64.0,64.0,1,2676.02,7544.56,1035,3008,35.6897,103.724,9.09209,3.0,29,0
30,3306.0,50076.0,MYSQL,64.0,64.0,1,1026.26,1673.21,1027,1644,39.5,63.2308,3.24767,48.0,26,0
31,3306.0,50077.0,MYSQL,64.0,64.0,1,3488.01,2899.59,2525,2143,78.9062,66.9688,5.41222,5.0,32,0
32,3306.0,50078.0,MYSQL,64.0,64.0,1,2312.28,5529.5,1035,2385,35.6897,82.2414,8.09857,3.0,29,0
33,3306.0,50079.0,MYSQL,64.0,64.0,1,2362.15,3947.54,1027,1644,39.5,63.2308,7.47515,3.0,26,0
34,3306.0,50080.0,MYSQL,64.0,64.0,1,6966.72,5455.99,2390,1929,88.5185,71.4444,9.54586,2.0,27,0
35,3306.0,50081.0,MYSQL,64.0,64.0,1,2512.4,6256.5,903,2192,39.2609,95.3043,7.99904,2.0,23,0
36,3306.0,50300.0,MYSQL,64.0,64.0,1,948.353,509.062,132,66,44.0,22.0,2.69419,1.0,3,0
37,3306.0,50299.0,MYSQL,64.0,64.0,1,3528.02,1410.39,132,66,44.0,22.0,8.01357,0.0,3,0
38,3306.0,50301.0,MYSQL,64.0,64.0,1,2802.8,4588.86,1027,1644,39.5,63.2308,8.86963,2.0,26,0
